sqft,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
990,2,2.0,1.0,0,2,4,6,1962,0,98106,47.5435,-122.372,750,2740,181000
960,4,2.25,1.0,0,0,5,6,1900,0,98004,47.6263,-122.197,1290,3240,566000
1720,5,2.25,2.0,0,0,3,7,2001,0,98031,47.4133,-122.207,1650,8060,319000
1670,4,1.75,1.5,0,1,3,6,1936,0,98115,47.6626,-122.3,1450,4290,493000
2230,4,2.75,2.0,0,3,3,6,1973,0,98178,47.4794,-122.231,2140,5790,449000
2700,4,2.75,1.0,0,0,3,10,1992,0,98117,47.6679,-122.375,3430,4060,827000
1030,3,1.75,1.0,0,0,3,5,1900,0,98115,47.6914,-122.29,1270,4640,282000
1210,2,1.75,1.0,0,0,3,6,1990,0,98004,47.6073,-122.231,1030,3120,488000
3250,5,3.25,2.0,0,0,3,9,1954,0,98118,47.5294,-122.276,2900,13850,619000
1060,3,1.25,1.0,0,0,3,8,1930,0,98144,47.5773,-122.281,770,5240,477000
1430,2,2.25,2.0,0,0,3,7,1948,0,98023,47.2981,-122.337,1670,5410,337000
2260,5,2.5,2.0,0,0,3,9,1975,1986,98125,47.6968,-122.318,2670,5880,685000
2240,4,3.0,1.0,0,2,4,8,1909,0,98033,47.6775,-122.186,1940,5250,1095000
2240,4,2.75,1.0,0,0,3,9,2007,0,98004,47.6054,-122.217,1360,8850,1331000
1500,4,1.75,2.0,0,0,3,7,1942,0,98004,47.5978,-122.217,1160,6760,586000
1590,3,2.75,1.5,0,0,3,6,2002,0,98117,47.6905,-122.371,1760,7160,489000
2750,5,3.5,1.0,0,0,3,7,1950,0,98199,47.648,-122.388,3870,4610,856000
1360,2,1.25,1.5,0,0,5,6,1923,0,98112,47.6225,-122.305,1020,10480,621000
1730,4,2.25,1.0,0,0,4,8,1979,2003,98033,47.6686,-122.189,1350,13240,936000
2740,5,3.5,1.5,0,0,5,9,1960,0,98103,47.6671,-122.335,1850,5540,1000000
2290,4,3.25,1.0,0,4,3,7,1907,0,98004,47.6257,-122.22,2070,5910,1206000
1590,4,2.5,1.0,0,0,4,7,1931,0,98023,47.3117,-122.358,1830,6460,310000
1000,2,1.25,1.0,0,0,3,5,1976,0,98031,47.3895,-122.187,1090,7020,194000
1200,4,1.5,2.0,0,0,3,6,1968,0,98112,47.645,-122.288,1600,14330,442000
750,2,1.25,1.0,0,0,4,6,1948,0,98178,47.4942,-122.261,860,8530,132000
2100,3,3.25,2.0,0,0,3,9,1953,0,98004,47.6128,-122.223,1710,15460,1004000
1810,4,2.5,1.0,0,2,3,6,1939,0,98042,47.3609,-122.143,2050,10230,286000
2030,5,2.75,1.0,0,0,3,8,1907,0,98042,47.3621,-122.128,1720,4470,271000
1670,3,2.25,2.0,0,0,5,8,1926,0,98118,47.5302,-122.258,1810,6890,524000
1810,3,2.0,2.0,0,0,3,7,1971,0,98059,47.4868,-122.124,950,12580,416000
2290,4,2.5,2.0,0,0,4,7,1946,0,98115,47.7019,-122.312,2330,13240,701000
2120,3,2.25,1.0,0,0,3,9,1912,0,98033,47.6643,-122.194,2230,12020,847000
1560,3,2.5,2.0,0,0,5,8,2008,0,98103,47.6802,-122.339,1090,4660,590000
1880,5,2.0,2.0,0,0,3,7,1906,0,98042,47.3589,-122.108,2020,8280,323000
3380,6,4.0,3.0,0,0,3,9,1998,0,98178,47.5142,-122.244,4600,3560,704000
2220,3,2.25,1.5,0,0,3,8,1971,0,98115,47.6778,-122.305,1770,10920,745000
2730,7,3.0,1.0,0,0,4,10,1958,0,98023,47.3173,-122.352,2430,10930,629000
1650,3,2.0,2.0,0,0,3,7,2002,0,98004,47.611,-122.189,2080,2400,807000
1360,3,2.0,1.0,0,2,4,6,1948,1999,98178,47.486,-122.229,700,5040,222000
2480,5,3.25,2.0,0,0,3,10,1918,1988,98103,47.6701,-122.336,1480,14410,751000
2220,5,3.75,1.0,0,0,3,7,1969,0,98031,47.4104,-122.205,2050,4530,412000
2670,4,3.75,1.0,0,0,3,9,1928,0,98178,47.5086,-122.235,2700,5450,461000
1890,4,2.25,1.0,0,0,3,8,2000,0,98199,47.6604,-122.403,1920,10770,740000
2330,5,2.75,1.0,0,0,3,7,1957,0,98117,47.6826,-122.402,2990,2710,547000
1930,3,2.25,2.0,0,0,3,7,1984,0,98033,47.6604,-122.209,1630,11250,731000
1340,2,1.75,1.0,0,0,3,6,2010,0,98042,47.3752,-122.112,1200,3350,200000
1790,4,2.0,1.0,0,0,3,8,1922,0,98042,47.3491,-122.109,1820,7460,300000
1890,5,2.5,1.0,0,0,3,6,1999,0,98033,47.6841,-122.2,1720,6250,649000
2840,4,4.0,2.0,0,2,3,8,1963,0,98112,47.6242,-122.297,1690,5660,1566000
2580,6,3.5,1.0,0,0,3,8,1977,0,98059,47.4765,-122.106,2400,9940,803000
1890,4,3.0,2.0,0,0,5,8,1931,0,98178,47.4928,-122.234,1360,4870,476000
2140,3,3.0,1.5,0,0,3,7,1922,0,98115,47.6829,-122.296,1480,31630,740000
2420,4,3.25,2.0,0,0,3,8,1930,0,98042,47.3306,-122.114,2650,6670,463000
3720,7,3.75,1.0,0,0,3,10,1968,0,98115,47.6785,-122.285,4320,16060,1534000
2140,4,2.75,2.0,0,0,4,8,1971,0,98033,47.6778,-122.21,2000,10920,1039000
3660,6,4.5,2.0,0,0,3,9,1976,0,98133,47.7407,-122.329,3520,9400,903000
1360,1,2.0,1.0,0,0,3,6,1910,0,98112,47.6485,-122.297,750,9250,455000
1980,4,2.75,1.0,0,0,4,7,1903,0,98117,47.6848,-122.375,1540,4030,504000
4020,6,4.75,1.0,0,0,4,12,1960,1992,98199,47.6474,-122.374,4910,5410,2435000
1790,3,2.5,1.0,0,0,3,6,1997,0,98118,47.5325,-122.251,1590,5800,331000
1830,3,2.5,1.0,0,0,4,7,1980,0,98033,47.6887,-122.225,1190,7780,771000
1440,3,1.5,1.0,0,0,3,8,1939,0,98115,47.7025,-122.288,1320,8370,588000
1520,3,1.75,2.0,0,3,3,8,1958,1990,98023,47.3061,-122.358,1020,11480,319000
1580,3,2.0,2.0,0,0,3,7,1960,0,98125,47.7172,-122.291,2200,11080,332000
1880,4,2.0,2.0,0,0,4,7,1992,0,98059,47.4928,-122.129,2090,7150,519000
2560,6,3.5,2.0,0,0,3,9,1939,0,98117,47.6909,-122.361,2280,6920,1001000
1730,3,1.5,1.0,0,0,3,6,2010,0,98117,47.6808,-122.37,1200,10390,519000
1240,2,1.25,1.0,0,0,3,7,1929,0,98059,47.4747,-122.111,1060,5480,295000
1490,3,1.75,2.0,0,0,3,8,1919,0,98115,47.6771,-122.287,1350,13090,515000
3240,7,4.5,2.0,0,0,3,8,2006,0,98144,47.5577,-122.294,2220,17320,939000
930,2,1.25,1.5,0,0,3,5,1956,0,98133,47.7325,-122.35,840,9330,245000
1660,3,2.75,2.0,0,0,4,8,2005,0,98004,47.6218,-122.183,1490,4760,979000
910,2,1.25,2.0,0,0,3,6,1913,0,98117,47.6744,-122.361,970,5900,276000
2430,5,3.25,2.0,0,0,4,9,1923,0,98106,47.5456,-122.348,2140,8190,672000
1800,6,2.0,1.0,0,3,4,5,1954,0,98033,47.6893,-122.177,1150,8090,742000
1790,4,2.75,1.0,0,0,4,7,1902,0,98103,47.6953,-122.333,1850,10450,521000
2330,5,2.5,1.5,0,0,5,8,1989,0,98199,47.6507,-122.413,2710,6670,780000
1680,3,1.75,2.0,0,0,4,6,1975,0,98004,47.6245,-122.22,1800,5540,861000
1490,3,2.75,1.0,0,0,3,7,1939,0,98144,47.5883,-122.274,1140,17460,415000
1920,3,2.75,1.0,0,0,3,8,1974,0,98199,47.6667,-122.397,1810,10120,819000
1390,4,2.25,2.0,0,0,4,7,1909,2003,98125,47.7524,-122.309,1250,10180,307000
2250,4,2.5,2.0,0,0,3,7,1937,0,98199,47.6689,-122.406,1600,8380,671000
2400,5,2.5,1.0,0,2,2,8,1925,0,98112,47.6346,-122.31,1830,11770,1079000
1380,2,1.25,2.0,0,0,4,8,2008,0,98023,47.3134,-122.37,900,8600,261000
1740,4,2.75,2.0,0,2,4,7,1956,0,98103,47.6575,-122.327,1010,7000,567000
3390,6,4.0,1.0,0,1,3,11,1953,0,98112,47.633,-122.295,4360,6480,1671000
1520,2,2.25,2.0,0,0,3,5,2001,0,98106,47.5405,-122.334,1440,9960,282000
3100,5,4.0,1.0,0,0,3,8,1940,0,98033,47.6654,-122.2,2240,4970,1385000
2120,4,3.75,2.0,0,0,3,8,1952,0,98133,47.7686,-122.345,1610,8430,424000
2470,4,3.25,1.5,0,0,3,7,1925,0,98117,47.6958,-122.386,2060,7150,523000
1670,3,2.25,2.0,0,3,4,6,1920,0,98033,47.6595,-122.209,1730,4350,644000
2790,4,3.0,1.0,0,0,4,8,1977,0,98112,47.6358,-122.318,2880,3540,1382000
2200,4,2.75,1.0,0,0,3,7,1970,0,98133,47.7371,-122.366,1620,5730,557000
2110,5,3.25,1.0,0,0,3,8,1955,0,98199,47.6763,-122.39,1610,9270,850000
1130,3,1.25,1.0,0,0,4,6,1930,0,98033,47.6811,-122.186,650,2750,441000
3360,6,4.0,1.5,0,0,3,10,1949,0,98031,47.4329,-122.21,3020,9080,615000
3200,5,3.75,1.5,0,0,3,10,1958,0,98178,47.4856,-122.234,1720,8950,732000
1620,4,2.25,1.0,0,0,4,5,1956,0,98103,47.6684,-122.341,1750,5320,391000
3020,4,3.5,1.0,0,0,4,9,1947,0,98199,47.658,-122.405,2260,11780,1209000
2930,4,3.5,1.0,0,3,5,7,1987,0,98031,47.3886,-122.183,2590,9620,655000
840,2,2.0,1.0,0,4,4,6,1900,0,98004,47.6403,-122.213,1030,4510,485000
1180,1,1.25,2.0,0,0,3,7,1988,0,98004,47.6331,-122.212,1060,4930,677000
2360,6,2.5,1.0,0,0,3,8,1958,0,98199,47.6554,-122.398,1770,16490,860000
2260,4,2.5,1.0,0,2,3,8,1971,0,98023,47.3051,-122.35,2060,9790,547000
910,2,1.5,1.0,0,0,3,7,1971,0,98106,47.5333,-122.335,960,7750,163000
2070,4,2.5,1.0,0,0,3,9,1966,0,98052,47.6859,-122.115,2010,3180,953000
1590,4,1.5,2.0,0,0,3,8,1933,1997,98004,47.6054,-122.204,1500,5260,925000
1880,4,2.25,1.0,0,2,4,8,1953,0,98033,47.6604,-122.189,1720,15170,934000
1700,3,1.75,2.0,0,0,4,8,1979,0,98118,47.5405,-122.258,1700,8450,550000
1290,3,1.5,2.0,0,0,5,6,1945,0,98117,47.6968,-122.377,950,7190,423000
2370,4,3.25,1.5,0,0,4,8,1984,0,98133,47.7136,-122.355,1910,5860,586000
1740,3,2.0,1.0,0,0,5,7,1981,0,98117,47.6892,-122.373,1360,9720,527000
3660,5,4.75,1.0,0,0,4,9,1942,0,98052,47.678,-122.104,3810,5720,1397000
2700,4,3.25,1.0,0,0,3,8,1954,1997,98178,47.4902,-122.236,2550,3000,469000
1460,3,2.25,2.0,0,0,3,7,1941,0,98103,47.6714,-122.347,1380,9090,460000
1740,4,2.0,1.0,0,3,3,7,1907,0,98118,47.538,-122.251,1310,10200,423000
880,2,1.25,1.5,0,0,4,5,1945,0,98042,47.3603,-122.126,720,9540,122000
2130,4,2.0,2.0,0,0,4,8,1940,0,98031,47.3975,-122.216,1610,4240,491000
1910,4,2.75,2.0,0,0,3,6,1970,0,98133,47.739,-122.336,1570,6230,445000
1570,2,2.25,1.0,0,0,3,6,1937,0,98117,47.6913,-122.383,1300,5690,427000
2530,5,3.5,1.0,0,0,5,7,1973,0,98112,47.6357,-122.292,2200,6540,1169000
1030,2,2.0,2.0,0,0,3,6,2000,0,98144,47.576,-122.303,680,5150,257000
6050,7,5.5,2.0,0,0,3,12,1989,0,98004,47.6093,-122.196,5500,7640,3941000
1510,3,1.0,2.0,0,0,3,7,2009,0,98004,47.6057,-122.199,1480,5060,683000
1900,3,2.5,2.0,0,0,3,7,2012,0,98118,47.5283,-122.276,2050,3700,409000
2050,5,3.0,1.5,0,3,3,8,1977,0,98031,47.4228,-122.183,1860,6980,374000
1290,3,1.5,1.0,0,0,4,7,2001,0,98059,47.4526,-122.151,1460,3920,297000
1650,2,2.25,1.0,0,1,3,7,1952,0,98144,47.5937,-122.285,1230,8560,362000
1740,4,2.25,1.5,0,0,3,7,1975,0,98031,47.4068,-122.182,1450,11170,326000
2140,4,2.75,2.0,0,0,3,8,2013,0,98004,47.6044,-122.224,1580,7550,1296000
3380,6,3.5,1.0,0,0,3,9,1989,0,98023,47.3208,-122.361,2910,6680,489000
1440,3,1.75,1.0,0,0,4,7,1927,0,98199,47.6528,-122.419,1250,2480,508000
1330,3,1.5,1.0,0,0,3,7,1970,0,98031,47.4072,-122.194,1300,8290,276000
1390,3,1.75,3.0,0,0,4,5,1924,0,98144,47.5689,-122.295,660,4320,250000
1600,3,2.0,1.0,0,0,4,7,1911,0,98118,47.5551,-122.248,1510,15580,288000
2180,4,2.75,2.0,0,0,3,7,1953,0,98115,47.6962,-122.284,2070,5410,518000
3120,4,3.75,1.0,0,0,4,10,2014,0,98118,47.5435,-122.263,2390,9220,651000
2670,5,3.75,1.0,0,0,3,8,1902,0,98125,47.7264,-122.315,2230,20310,768000
2770,6,2.75,1.5,0,0,3,9,1978,0,98042,47.3791,-122.142,2430,3540,610000
1890,3,2.5,2.0,0,0,3,8,1930,0,98031,47.392,-122.208,2170,6500,326000
2860,5,3.5,1.0,0,0,3,8,1996,0,98133,47.7575,-122.342,3090,4080,777000
1460,2,2.0,3.0,0,0,5,7,1940,0,98059,47.4709,-122.126,1450,6940,404000
980,3,1.25,2.0,0,0,3,6,1914,0,98133,47.7259,-122.343,920,4470,204000
1970,3,2.5,1.0,0,0,3,7,1963,0,98125,47.7306,-122.296,2400,6960,460000
2420,5,2.75,2.0,0,0,3,9,1900,0,98031,47.4055,-122.186,1920,7240,494000
2470,4,2.75,1.5,0,2,4,9,1989,0,98199,47.6593,-122.392,2920,8450,1603000
1550,2,1.5,1.0,0,0,5,7,1959,0,98118,47.5531,-122.28,1520,10690,270000
2720,4,3.5,1.0,0,0,4,9,1927,2004,98106,47.5233,-122.334,1960,4710,579000
2130,4,3.0,1.0,0,0,4,7,1944,0,98125,47.6858,-122.284,1880,5160,509000
1870,4,2.5,2.0,0,0,3,7,1927,0,98112,47.6378,-122.3,1870,6380,602000
1420,4,2.25,1.0,0,0,3,6,2007,0,98112,47.6504,-122.291,1250,14240,464000
1540,3,1.75,1.5,0,0,3,6,1997,0,98144,47.5708,-122.292,1310,2670,519000
2180,4,3.0,1.0,0,0,3,8,1992,0,98199,47.6334,-122.408,2370,6610,835000
1180,2,0.75,2.0,0,0,3,7,2004,0,98133,47.7403,-122.363,1310,2940,274000
1100,2,2.0,1.0,0,0,3,6,2011,0,98178,47.509,-122.24,960,9300,163000
1590,4,2.0,1.0,0,0,3,6,1943,0,98033,47.6655,-122.196,620,3620,452000
5510,7,5.5,2.0,0,0,3,12,1903,0,98023,47.3259,-122.372,4480,11100,1476000
1990,4,2.75,1.0,0,3,3,9,1996,0,98023,47.2946,-122.358,1590,3040,487000
2710,5,3.75,2.0,0,3,3,8,1905,0,98052,47.6636,-122.105,3550,6940,993000
2520,5,2.75,3.0,0,0,3,8,2003,0,98052,47.6846,-122.103,3040,5500,606000
2370,4,3.25,2.0,0,0,4,8,1962,0,98033,47.6885,-122.181,2840,5160,1130000
2350,4,3.0,2.0,0,0,3,9,1975,0,98004,47.6143,-122.192,2280,10140,1358000
3760,5,4.75,1.0,0,0,3,9,1915,0,98199,47.6611,-122.387,5080,11500,1445000
1340,3,1.0,1.0,0,0,4,6,1990,0,98059,47.4721,-122.149,1160,17090,320000
1630,4,2.25,1.5,0,0,4,7,1935,0,98042,47.3742,-122.111,1050,8000,244000
1280,2,1.5,1.0,0,0,3,5,1989,0,98059,47.4623,-122.143,1180,8390,305000
2300,4,2.25,2.0,0,0,3,7,1960,0,98117,47.683,-122.367,2250,3150,601000
2150,5,3.0,1.0,0,0,5,9,1953,0,98103,47.6746,-122.338,2000,5950,781000
1460,4,1.5,1.5,0,0,3,6,2001,0,98125,47.7087,-122.287,1150,4210,364000
1530,5,1.5,1.5,0,2,4,6,1960,0,98117,47.6833,-122.377,1150,4280,447000
1930,4,2.75,1.0,0,3,3,6,1982,0,98178,47.4968,-122.248,1480,5880,332000
1620,4,2.0,2.0,0,2,4,7,1999,0,98033,47.6708,-122.201,980,4970,713000
1470,3,1.5,1.0,0,0,4,7,2014,0,98178,47.4968,-122.243,1840,6370,299000
2430,6,2.75,1.0,0,0,5,10,1925,2014,98042,47.3755,-122.087,1790,7150,688000
1260,4,2.25,2.0,0,0,4,7,1920,0,98059,47.4817,-122.145,1180,10020,354000
2300,4,3.25,1.0,0,0,3,8,1958,0,98023,47.3095,-122.339,1900,7910,404000
1960,5,3.5,1.0,0,0,3,7,1982,0,98133,47.7388,-122.356,2080,11560,409000
1330,4,2.0,2.0,0,0,3,5,1960,0,98115,47.6745,-122.299,1560,5340,377000
1110,4,2.0,1.0,0,0,5,7,1926,0,98115,47.6919,-122.291,1040,20700,301000
2010,4,2.5,1.0,0,0,4,6,1916,0,98115,47.6924,-122.307,1900,13550,551000
2320,3,2.25,2.0,0,1,4,7,2002,0,98052,47.6659,-122.113,2510,16530,931000
1480,2,2.25,1.0,0,0,2,6,2005,0,98106,47.5232,-122.349,1500,7430,282000
2490,3,3.0,1.0,0,0,3,7,1958,0,98031,47.394,-122.179,2940,7990,521000
3480,5,3.5,1.0,0,0,4,10,1946,0,98178,47.4875,-122.235,3340,11720,672000
2740,5,3.75,2.0,0,0,4,9,1902,2012,98115,47.7059,-122.301,3760,15640,701000
2420,4,3.25,2.0,0,0,3,9,2012,0,98052,47.6852,-122.099,2260,12110,933000
1390,3,1.25,1.0,0,0,3,5,1975,2009,98118,47.5488,-122.258,1600,9980,315000
1680,4,2.5,2.0,0,0,4,8,1995,0,98115,47.6976,-122.296,1110,8830,552000
2720,5,2.75,2.0,0,0,3,8,1900,0,98052,47.6803,-122.098,2330,5750,918000
2340,4,3.25,1.5,0,0,3,8,1941,0,98023,47.3064,-122.361,1920,7460,410000
3120,4,3.5,1.0,0,0,4,10,1993,0,98103,47.6528,-122.348,2440,5250,1160000
2940,5,3.75,1.5,0,2,3,9,2011,0,98178,47.5051,-122.244,3030,10050,677000
2770,6,3.75,2.0,0,0,4,10,1957,0,98042,47.3669,-122.102,2410,4820,629000
3790,5,4.75,2.0,0,0,4,10,1903,0,98144,47.5799,-122.305,3660,5530,1241000
2300,4,3.5,2.0,0,0,3,8,1945,0,98144,47.5972,-122.284,2350,6140,595000
1140,4,1.5,1.5,0,0,5,6,1978,0,98125,47.7227,-122.303,1200,10650,282000
1960,5,2.25,1.0,0,0,3,8,1979,0,98033,47.6826,-122.19,2030,9260,906000
2170,4,3.25,1.0,0,4,1,8,1982,0,98023,47.2951,-122.358,2030,10110,648000
1690,5,2.5,1.0,0,0,4,6,1929,0,98052,47.6757,-122.113,1540,7070,544000
1280,4,1.75,1.0,0,0,4,6,1929,0,98033,47.687,-122.207,1290,12090,428000
2000,5,3.25,1.0,0,0,3,7,1933,0,98059,47.4765,-122.142,1590,2650,347000
2370,4,2.75,2.0,0,0,4,8,1953,0,98023,47.3225,-122.358,2120,8560,466000
3800,7,4.25,1.5,0,0,4,10,1980,0,98112,47.6469,-122.305,3880,6810,2168000
1480,4,1.75,2.0,0,0,3,6,1983,0,98112,47.6317,-122.284,1710,7460,585000
1200,2,1.0,1.5,0,0,3,7,2013,0,98133,47.7495,-122.347,1240,6370,264000
2650,3,3.25,2.0,0,0,3,9,1941,0,98031,47.4025,-122.196,3300,8210,527000
1820,3,2.0,1.0,0,0,3,6,1975,0,98178,47.509,-122.246,1060,10470,343000
770,3,1.0,1.0,0,0,3,6,1909,0,98052,47.6894,-122.126,650,5460,219000
2620,5,3.75,1.0,0,0,3,7,2004,0,98115,47.6678,-122.285,2520,4170,1087000
1500,2,2.0,3.0,0,0,3,6,1968,0,98052,47.6987,-122.13,970,11280,490000
2180,4,3.5,2.0,0,0,3,7,1937,0,98031,47.4118,-122.222,1950,4870,464000
2650,5,3.75,1.0,0,0,4,8,1954,0,98125,47.7439,-122.302,1960,2040,585000
1300,2,1.5,1.0,0,0,3,6,1947,2003,98115,47.6892,-122.299,1410,4690,301000
1490,3,2.0,1.0,0,0,3,7,2010,0,98133,47.733,-122.326,1390,4060,356000
1680,2,2.25,1.0,0,0,3,6,1968,0,98144,47.5913,-122.3,1450,3300,461000
2170,3,3.5,1.0,0,0,4,7,1955,0,98144,47.5912,-122.291,1970,6150,560000
2670,5,3.0,2.0,0,0,4,7,1959,0,98178,47.4897,-122.252,1860,9240,478000
1180,4,2.0,1.0,0,0,3,4,1968,0,98059,47.4949,-122.131,990,2860,288000
2320,4,3.0,1.0,0,0,4,7,2004,0,98103,47.661,-122.345,2050,3600,728000
2900,5,3.75,2.0,0,0,3,10,1973,0,98118,47.5352,-122.248,2130,2960,641000
3310,6,4.0,2.0,0,0,4,10,2003,0,98125,47.6969,-122.282,3030,16350,969000
2280,5,3.25,2.0,0,0,5,8,1934,0,98115,47.6898,-122.303,1490,6690,846000
5530,7,5.5,1.0,0,0,4,12,1974,0,98031,47.4136,-122.18,4630,6600,1324000
1510,4,2.5,1.0,0,0,3,7,1932,0,98103,47.6506,-122.346,1220,5220,490000
2520,6,3.5,1.5,0,0,3,6,1960,0,98112,47.6246,-122.288,1910,6590,883000
1830,5,3.25,3.0,0,0,5,7,2000,0,98133,47.717,-122.351,1630,2210,344000
1070,3,3.0,1.0,0,0,3,6,1966,0,98118,47.5286,-122.256,1140,13270,209000
2050,3,2.75,2.0,0,0,3,7,1953,0,98023,47.3049,-122.343,2290,6100,401000
2350,4,2.75,1.0,0,0,3,8,1900,0,98115,47.6476,-122.316,1930,11540,776000
2220,6,3.0,1.0,0,0,3,7,1912,0,98117,47.6926,-122.388,2110,2760,752000
2090,4,3.25,1.5,0,0,3,8,1940,0,98117,47.6999,-122.382,2200,11700,566000
1720,3,2.25,2.0,0,0,3,7,1941,0,98103,47.6817,-122.347,1780,9510,414000
2550,5,4.5,1.0,0,0,4,8,1930,0,98117,47.6913,-122.39,1770,8710,585000
2380,4,3.0,1.5,0,0,4,8,1922,0,98031,47.4039,-122.187,1810,5760,467000
2500,5,3.25,1.0,0,0,3,8,1996,0,98023,47.3134,-122.351,2650,4450,416000
1550,3,2.0,1.0,0,0,2,7,1991,0,98023,47.3246,-122.366,1240,7920,255000
1720,4,2.5,2.0,0,0,3,6,1907,1998,98199,47.6456,-122.403,1820,8670,468000
1200,2,1.25,2.0,0,0,5,5,1937,0,98103,47.6583,-122.341,940,18230,357000
1600,4,2.25,2.0,0,0,3,7,2009,0,98103,47.6652,-122.351,1800,3610,566000
1170,2,1.5,2.0,0,3,3,6,1918,0,98118,47.549,-122.28,1050,5690,255000
1740,3,1.75,2.0,0,0,4,8,1979,0,98042,47.3684,-122.121,1240,4310,337000
2690,5,3.5,1.0,0,0,4,8,1911,0,98052,47.6689,-122.137,2330,3860,833000
2000,4,3.0,1.0,0,0,3,8,1905,0,98031,47.3903,-122.182,1920,2710,401000
2690,5,3.25,1.5,0,0,5,8,1980,0,98033,47.6958,-122.214,1570,2200,1184000
2680,4,3.5,2.0,0,0,3,8,1996,0,98033,47.7081,-122.165,2870,9750,933000
1380,3,1.5,1.0,0,0,3,5,1991,0,98052,47.7111,-122.12,1020,3420,282000
3630,6,4.0,1.0,0,0,5,10,1900,0,98112,47.6384,-122.291,2610,12290,1941000
3150,6,3.75,2.0,0,0,4,10,1986,0,98178,47.5126,-122.268,3420,8860,657000
2890,5,3.75,2.0,0,0,3,10,1917,0,98023,47.3087,-122.351,1090,16380,476000
2370,4,3.0,2.0,0,0,3,8,1974,0,98031,47.4072,-122.214,2080,7520,435000
2690,5,2.75,1.5,0,1,3,8,1984,0,98178,47.4825,-122.252,2840,21380,583000
1210,3,1.0,1.0,0,0,4,6,1976,2004,98023,47.3224,-122.355,930,2850,244000
1530,3,2.25,2.0,0,0,4,6,1969,0,98115,47.6764,-122.304,1160,6080,471000
1630,4,2.25,2.0,0,0,3,7,1942,0,98059,47.4852,-122.13,1230,9210,394000
3360,5,4.0,2.0,0,0,3,9,1938,0,98199,47.6448,-122.374,3170,4370,1469000
1030,2,1.25,1.0,0,2,3,6,1982,0,98115,47.6767,-122.296,920,10340,403000
1950,4,3.0,1.0,0,0,4,7,1901,2005,98004,47.6087,-122.202,2230,7500,1255000
5750,7,5.5,1.0,0,0,4,11,1964,0,98031,47.3918,-122.203,4360,6400,1321000
