tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,churn
51,92.14,4755.04,One year,Electronic check,Fiber optic,No,No,No,Yes,Yes,Yes,Female,0,No,No,No,No phone service,0
46,11.83,525.15,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,Yes,No,0
6,87.06,526.39,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,Yes,No,Female,1,Yes,No,Yes,No,1
6,19.96,122.14,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,0
42,77.34,3197.25,Two year,Mailed check,Fiber optic,No,No,No,Yes,No,No,Male,0,No,No,Yes,No,0
26,72.19,1850.0,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,Yes,Yes,1
40,61.24,2435.89,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,No,Male,0,No,Yes,Yes,No,0
17,61.41,1068.54,One year,Credit card,DSL,No,No,No,No,Yes,No,Female,0,Yes,No,Yes,Yes,0
25,83.76,2124.84,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,Yes,Yes,Yes,0
39,65.2,2592.99,Month-to-month,Credit card,DSL,No,No,No,Yes,No,Yes,Female,0,Yes,No,Yes,Yes,0
56,55.02,3046.21,Two year,Credit card,DSL,No,No,No,No,No,Yes,Female,0,Yes,No,Yes,Yes,0
59,82.69,5019.05,Two year,Electronic check,Fiber optic,No,No,No,Yes,No,No,Male,0,Yes,No,Yes,Yes,0
31,86.27,2647.21,Month-to-month,Electronic check,Fiber optic,No,Yes,No,No,No,Yes,Male,1,No,No,Yes,No,1
2,57.92,120.31,Month-to-month,Bank transfer,DSL,Yes,No,No,Yes,No,No,Female,0,Yes,No,Yes,No,1
13,20.53,257.06,One year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,0
71,92.98,6702.44,One year,Bank transfer,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,No,Yes,No,0
65,78.4,4923.86,Two year,Bank transfer,Fiber optic,Yes,No,Yes,No,No,No,Female,0,Yes,No,Yes,Yes,0
6,84.77,503.72,One year,Mailed check,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,Yes,Yes,1
60,92.23,5761.99,Two year,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,No,Male,0,No,Yes,Yes,Yes,0
8,55.58,438.45,Month-to-month,Credit card,DSL,No,No,No,No,No,Yes,Male,0,No,No,No,No phone service,1
30,94.55,2950.65,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,Yes,No,Male,0,Yes,No,Yes,Yes,0
58,61.34,3435.2,Two year,Bank transfer,DSL,No,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,No,0
31,103.85,3211.53,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,Yes,Yes,Yes,Male,0,Yes,No,Yes,Yes,0
23,26.25,582.38,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,Yes,No,Yes,Yes,0
70,85.93,6269.74,Two year,Electronic check,Fiber optic,No,No,Yes,No,Yes,No,Female,0,No,No,Yes,No,0
9,29.63,259.98,Two year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,Yes,1
19,53.09,1020.87,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,No,No,Female,0,Yes,No,Yes,No,0
14,86.15,1150.94,One year,Electronic check,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,Yes,0
13,64.53,851.75,Month-to-month,Bank transfer,DSL,No,Yes,No,Yes,Yes,No,Male,0,No,No,No,No phone service,0
35,82.61,2897.84,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,Yes,No,No,Female,0,No,No,Yes,Yes,0
22,75.87,1594.67,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,Yes,No,0
9,25.67,240.03,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,No,No phone service,0
17,53.38,949.78,Two year,Mailed check,DSL,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,No,0
9,23.58,220.09,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,1
71,70.14,5096.25,Two year,Bank transfer,Fiber optic,No,No,No,No,No,No,Female,1,No,No,Yes,No,0
12,29.4,358.38,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,Yes,No,Yes,Yes,1
25,69.11,1730.53,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,No,Female,1,Yes,Yes,Yes,No,1
1,64.61,62.48,Month-to-month,Credit card,DSL,No,No,No,No,Yes,Yes,Male,0,Yes,No,Yes,Yes,1
46,22.78,1037.11,Two year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,No,0
3,23.08,69.98,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,Yes,No,0
24,80.78,1933.78,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,Yes,No,Male,0,No,No,Yes,No,1
54,96.28,5218.83,Two year,Bank transfer,Fiber optic,Yes,No,No,No,Yes,Yes,Male,1,No,No,No,No phone service,0
45,72.2,3101.78,Two year,Mailed check,Fiber optic,No,No,No,Yes,No,No,Female,0,Yes,Yes,Yes,No,0
21,49.12,1025.95,One year,Bank transfer,DSL,No,No,Yes,No,No,No,Female,0,No,Yes,Yes,No,0
65,75.19,4778.44,One year,Electronic check,DSL,Yes,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,No,0
11,90.73,974.98,Two year,Electronic check,Fiber optic,No,Yes,No,No,No,Yes,Female,0,Yes,No,Yes,Yes,0
59,53.12,3283.98,One year,Electronic check,DSL,No,No,No,No,Yes,No,Male,0,No,No,Yes,No,0
2,55.92,112.29,Month-to-month,Credit card,DSL,No,No,No,No,Yes,No,Female,1,Yes,Yes,Yes,No,0
3,73.51,230.08,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,Yes,Yes,1
8,88.57,738.39,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,No,Male,1,No,Yes,Yes,Yes,1
5,68.5,332.03,Month-to-month,Electronic check,DSL,Yes,Yes,No,No,Yes,No,Male,0,No,No,Yes,Yes,0
24,22.81,570.48,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,Yes,No,Yes,No,0
33,90.01,2910.86,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,Yes,No,Male,0,Yes,Yes,Yes,Yes,0
26,24.8,652.68,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,Yes,0
13,47.32,642.76,Month-to-month,Electronic check,DSL,No,No,No,Yes,No,No,Female,0,No,No,Yes,No,0
6,21.07,120.3,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,0
2,73.24,145.13,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,Yes,No,0
27,66.28,1778.09,Two year,Bank transfer,DSL,No,No,Yes,No,Yes,No,Female,0,No,No,Yes,Yes,0
30,77.1,2291.06,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,Yes,No,1
58,92.89,5202.33,One year,Electronic check,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,Yes,Yes,Yes,0
35,92.47,3332.67,One year,Mailed check,Fiber optic,No,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,Yes,0
12,74.85,898.21,One year,Electronic check,Fiber optic,Yes,Yes,No,No,No,No,Male,0,No,No,Yes,No,0
14,86.22,1149.97,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,Yes,0
21,25.02,511.69,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,0
68,54.07,3785.99,One year,Electronic check,DSL,No,No,No,No,No,Yes,Male,0,Yes,No,No,No phone service,0
39,50.61,1956.46,Month-to-month,Mailed check,DSL,No,No,No,No,No,No,Female,0,Yes,No,Yes,Yes,0
58,19.92,1126.06,Two year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,0
21,64.56,1340.84,Two year,Electronic check,DSL,No,No,Yes,Yes,No,Yes,Female,0,Yes,Yes,Yes,No,0
36,89.74,3081.42,Month-to-month,Credit card,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,No,Yes,Yes,0
8,77.02,586.68,Month-to-month,Mailed check,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,No,0
52,25.85,1297.2,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,0
17,80.55,1430.31,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,No,No,Male,0,Yes,Yes,Yes,Yes,1
23,54.78,1220.31,Month-to-month,Bank transfer,DSL,No,No,No,No,Yes,No,Male,0,No,No,Yes,Yes,0
15,65.27,1017.92,Month-to-month,Bank transfer,DSL,No,Yes,No,No,No,Yes,Female,0,No,No,Yes,Yes,0
15,29.29,420.98,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,Yes,1
69,81.26,5437.23,One year,Mailed check,Fiber optic,No,No,No,No,No,Yes,Female,0,No,Yes,Yes,No,0
7,68.04,494.04,Two year,Bank transfer,DSL,No,No,No,No,Yes,Yes,Male,0,No,Yes,Yes,No,0
7,24.08,166.55,One year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,Yes,No,Yes,Yes,0
40,20.75,823.26,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,0
30,17.94,521.63,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,0
39,82.75,3137.73,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,No,0
60,15.77,942.23,Two year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,0
72,65.62,4550.45,One year,Credit card,DSL,No,Yes,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,No,0
59,24.19,1378.66,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,Yes,0
10,71.09,734.25,Month-to-month,Mailed check,DSL,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,Yes,1
55,90.68,4929.73,One year,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,Yes,No,No,No phone service,0
22,27.51,598.57,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,Yes,0
53,52.53,2737.87,Two year,Mailed check,DSL,No,No,Yes,No,No,No,Male,0,No,Yes,Yes,No,0
42,74.88,3229.96,One year,Electronic check,DSL,No,Yes,Yes,Yes,No,Yes,Female,0,No,No,Yes,No,0
16,47.3,780.58,Month-to-month,Mailed check,DSL,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,Yes,0
26,79.15,1994.36,One year,Electronic check,Fiber optic,No,No,No,Yes,No,No,Male,0,No,No,Yes,No,0
1,23.51,24.4,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,No,1
58,100.1,6036.58,One year,Electronic check,Fiber optic,No,No,No,Yes,Yes,Yes,Female,1,No,No,Yes,Yes,0
21,17.82,355.67,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,0
16,89.74,1450.56,Month-to-month,Credit card,Fiber optic,No,No,No,No,Yes,No,Female,0,No,Yes,Yes,Yes,0
33,77.44,2679.25,Month-to-month,Credit card,Fiber optic,No,No,No,Yes,No,No,Female,1,Yes,Yes,Yes,No,0
31,16.59,491.29,One year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,0
17,18.23,294.64,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,1
12,88.65,1115.58,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,No,Male,0,Yes,No,Yes,Yes,1
52,70.82,3847.43,Two year,Credit card,Fiber optic,No,Yes,No,No,No,No,Male,0,No,No,Yes,No,0
21,20.22,404.67,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,Yes,Yes,No,0
31,89.76,2654.27,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,No,No,Yes,Female,1,No,No,Yes,Yes,0
23,60.2,1418.53,One year,Mailed check,DSL,No,Yes,Yes,Yes,No,No,Female,0,Yes,No,Yes,No,0
19,84.7,1637.53,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,No,No,Male,0,No,No,Yes,Yes,0
30,24.15,688.45,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,Yes,0
42,63.59,2757.09,Two year,Electronic check,DSL,Yes,No,No,No,Yes,No,Female,0,No,Yes,Yes,No,0
16,60.23,944.16,Month-to-month,Electronic check,DSL,No,No,Yes,No,Yes,No,Female,0,Yes,No,Yes,Yes,0
12,69.32,852.27,One year,Credit card,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,No,1
1,55.87,58.41,Month-to-month,Mailed check,DSL,No,No,No,No,No,Yes,Female,0,Yes,No,Yes,No,0
23,20.99,464.32,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,No,No phone service,0
20,18.21,352.26,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,No,No,No,No phone service,1
25,58.94,1531.78,Month-to-month,Credit card,DSL,No,No,No,No,Yes,No,Female,0,Yes,No,Yes,No,0
3,57.05,171.68,Month-to-month,Bank transfer,DSL,No,Yes,No,No,No,Yes,Female,0,No,No,Yes,No,1
63,65.93,4161.79,Two year,Bank transfer,DSL,No,No,No,Yes,No,Yes,Female,0,No,Yes,Yes,Yes,0
12,105.28,1206.0,One year,Mailed check,Fiber optic,Yes,No,No,Yes,Yes,Yes,Female,0,No,No,Yes,No,0
3,17.88,54.66,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,0
7,56.14,379.14,One year,Bank transfer,DSL,No,No,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,No,0
10,86.51,898.45,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,Yes,No,Male,0,Yes,No,Yes,No,1
5,69.52,333.59,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,No phone service,0
35,68.54,2423.16,Month-to-month,Mailed check,DSL,Yes,No,Yes,Yes,Yes,No,Male,0,Yes,No,No,No phone service,0
51,88.73,4507.26,Two year,Mailed check,Fiber optic,No,No,Yes,No,No,Yes,Female,1,No,Yes,Yes,Yes,0
11,81.69,941.99,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,No,No,Male,1,Yes,No,Yes,Yes,1
13,79.36,982.92,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,No,1
40,25.15,995.72,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,0
9,21.27,189.92,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,1
7,89.79,633.8,Month-to-month,Electronic check,Fiber optic,No,Yes,No,No,No,Yes,Male,0,No,No,Yes,Yes,1
44,75.48,3247.77,One year,Mailed check,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,No,Yes,No,0
49,12.91,610.4,One year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,0
67,19.81,1266.99,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,0
36,76.6,2812.37,Two year,Electronic check,Fiber optic,No,No,No,No,No,Yes,Male,0,Yes,Yes,Yes,No,0
27,53.89,1438.51,Month-to-month,Credit card,DSL,No,Yes,No,Yes,No,No,Male,0,No,No,Yes,No,0
36,57.67,2024.58,Month-to-month,Bank transfer,DSL,No,Yes,No,No,No,Yes,Female,0,Yes,Yes,Yes,No,0
39,95.13,3687.17,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,No,0
20,64.54,1268.24,Month-to-month,Mailed check,DSL,Yes,Yes,No,No,Yes,No,Male,1,Yes,Yes,Yes,Yes,0
19,27.21,500.59,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,Yes,Yes,Yes,Yes,1
9,21.39,184.22,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,No,0
4,76.91,295.21,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,No,No,Male,1,No,No,Yes,No,0
65,79.5,5020.72,One year,Electronic check,Fiber optic,No,No,No,Yes,No,No,Female,0,Yes,No,Yes,Yes,0
66,17.48,1159.57,One year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,No,Yes,Yes,No,0
16,90.31,1402.87,Two year,Bank transfer,Fiber optic,No,No,Yes,Yes,Yes,No,Female,0,Yes,No,Yes,Yes,0
39,57.18,2273.42,Month-to-month,Mailed check,DSL,Yes,No,No,No,No,No,Male,0,No,Yes,Yes,Yes,0
27,78.87,2122.08,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,Yes,Male,0,No,Yes,Yes,No,0
6,47.73,280.81,Month-to-month,Bank transfer,DSL,No,No,No,No,No,No,Female,0,No,No,Yes,No,0
68,98.25,6769.69,One year,Credit card,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,Yes,0
31,97.16,3097.48,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,No,No,Female,0,No,No,Yes,Yes,0
33,64.38,2081.11,Month-to-month,Electronic check,DSL,No,Yes,No,No,No,Yes,Female,0,Yes,Yes,Yes,Yes,1
34,91.68,2966.35,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,No,Yes,No,Female,0,No,No,Yes,Yes,0
9,23.99,207.99,One year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,Yes,0
14,86.89,1262.95,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,Yes,1
38,56.03,2045.43,One year,Mailed check,DSL,No,Yes,Yes,No,No,No,Male,0,No,No,Yes,Yes,0
32,96.39,3081.39,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,No,No,Yes,Female,0,No,No,Yes,Yes,0
6,19.74,115.66,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,0
2,66.03,132.44,Month-to-month,Bank transfer,DSL,No,No,Yes,No,No,Yes,Female,0,Yes,No,No,No phone service,1
59,18.33,1106.89,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,0
7,52.16,358.71,One year,Bank transfer,DSL,No,No,No,No,No,No,Female,0,No,No,Yes,Yes,1
2,79.18,154.69,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,Yes,Male,0,No,Yes,Yes,No,1
39,87.72,3440.77,Two year,Bank transfer,Fiber optic,No,No,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,Yes,0
30,74.67,2129.06,One year,Credit card,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,Yes,No,0
54,50.66,2778.14,One year,Electronic check,DSL,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,No,0
29,63.81,1762.67,Two year,Electronic check,DSL,No,No,No,No,Yes,Yes,Female,0,Yes,No,Yes,No,0
22,82.49,1903.13,Month-to-month,Credit card,Fiber optic,No,No,Yes,Yes,No,No,Female,0,No,Yes,Yes,No,1
55,85.93,4724.38,Two year,Bank transfer,Fiber optic,No,No,Yes,No,Yes,No,Male,0,No,No,Yes,Yes,0
30,87.49,2606.94,Month-to-month,Mailed check,Fiber optic,No,Yes,No,No,No,No,Female,0,No,No,Yes,Yes,1
21,22.12,464.58,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,Yes,0
70,42.69,2867.13,One year,Bank transfer,DSL,No,No,No,No,No,No,Male,0,Yes,No,Yes,Yes,0
6,87.77,528.21,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,Yes,No,Yes,Female,0,Yes,Yes,Yes,No,0
15,91.54,1421.13,Month-to-month,Electronic check,Fiber optic,No,Yes,No,Yes,No,Yes,Male,0,Yes,Yes,Yes,No,1
32,24.31,790.97,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,0
11,86.51,950.19,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,No,Yes,Female,1,Yes,No,Yes,No,1
3,44.86,130.46,Month-to-month,Mailed check,DSL,No,No,No,No,No,No,Male,0,Yes,No,Yes,No,1
20,58.37,1218.01,Month-to-month,Credit card,DSL,No,No,No,Yes,No,No,Female,0,Yes,Yes,Yes,Yes,0
64,88.59,5554.58,One year,Mailed check,Fiber optic,Yes,No,Yes,Yes,No,No,Female,0,No,No,Yes,No,0
